eventId,title,category,description,tags,venue,day,time,durationMinutes,capacity,priceINR,registrationOpen
e_001,Battle of Bands,Music,"A high-energy live music competition where college bands perform original rock and metal compositions. Bands compete across categories of rhythm composition electric guitar solos and vocal performance. The stage has professional sound systems and LED lighting. Electric guitar drums bass and keyboard performances will be judged on originality stage presence and technical skill.",rock live-music competition electric-guitar drums stage-performance college-bands original-composition,Main Stage,1,18:00,120,500,0,true
e_002,Sufi Night,Music,"An enchanting evening of Sufi devotional music featuring live classical vocal performances. Artists sing traditional qawwalis and ghazals accompanied by tabla harmonium and sarangi. The performance creates a soulful meditative atmosphere with classical ragas and devotional poetry. Perfect for those who love traditional Indian classical music and spiritual vocal performances.",sufi classical devotional qawwali ghazal tabla harmonium spiritual vocal traditional-music,Amphitheatre,1,20:00,90,400,0,true
e_003,DJ Night,Music,"The ultimate closing night party featuring top DJs spinning electronic dance music including house techno and progressive EDM. The Main Stage transforms into a massive dance floor with laser lights fog machines and concert-grade sound. DJs will play live sets mixing beats bass drops and remixes. Festival finale party atmosphere.",dj electronic edm house techno party dance-floor laser-lights bass festival-finale rave,Main Stage,3,22:00,180,800,0,true
e_004,Acoustic Unplugged,Music,"An intimate acoustic music session where solo artists and small ensembles perform original folk indie and singer-songwriter compositions. Performers use acoustic guitars ukuleles violins and hand percussion. The stripped-down setting creates an emotional connection between artist and audience. Original lyrical compositions and folk covers welcome.",acoustic folk indie singer-songwriter guitar ukulele intimate original-songs,Cultural Hall,2,16:00,90,200,0,true
e_005,Classical Fusion,Music,"A unique fusion performance blending Indian classical music with western jazz and contemporary beats. Sitar violin mridangam and piano come together in a cross-genre collaborative concert. Artists explore the intersection of Carnatic Hindustani and jazz traditions. A rare opportunity to witness experimental classical innovation.",fusion classical sitar violin jazz mridangam carnatic hindustani experimental innovation,Amphitheatre,2,19:00,90,350,0,true
e_006,Bhangra Blast,Dance,"A high-energy Bhangra dance competition featuring group performances with traditional Punjabi dhol beats. Teams perform coordinated choreography with authentic Punjabi folk costumes. Judges evaluate synchronization energy storytelling through movement and traditional Bhangra technique. The dhol beats and folk songs create an electrifying atmosphere.",bhangra dance punjabi dhol folk-dance competition group-performance choreography costume traditional,Dance Arena,1,17:00,90,400,0,true
e_007,Classical Dance Showcase,Dance,"A prestigious showcase of Indian classical dance forms including Bharatanatyam Kathak Odissi and Kuchipudi. Solo and group performances by trained classical dancers expressing mythological stories through mudras expressions and footwork. Judges evaluate technical precision abhinaya and traditional authenticity. Formal attire and classical makeup required.",bharatanatyam kathak odissi kuchipudi classical-dance mudras abhinaya footwork mythology solo-performance,Amphitheatre,2,15:00,120,300,0,true
e_008,Street Dance Battle,Dance,"An urban street dance battle featuring hip-hop breakdance popping locking and freestyle genres. One-on-one and crew battles judged by professional choreographers. Participants can enter solo or as a crew of up to 6 members. Battles are spontaneous and judged on creativity response-to-music skill and crowd energy.",hip-hop breakdance freestyle battle urban choreography popping locking crew solo spontaneous,Sports Complex,1,16:00,120,600,0,true
e_009,Salsa and Latin Night,Dance,"A vibrant evening of Latin social dance including salsa bachata merengue and cumbia. Open floor for social dancing with partner-switch rotations. Professional Latin dance instructors will give a 30-minute beginner workshop before the open floor. No partner required. Participants are encouraged to dress in Latin festive attire.",salsa bachata merengue latin social-dance partner-dance beginner-workshop festive,Cultural Hall,2,20:00,150,300,0,true
e_010,Nukkad Natak,Drama,"Street theatre performances on social themes including gender equality mental health environmental awareness and political satire. Groups perform short 15-minute plays in open public spaces without stage or microphone. The raw unfiltered format creates direct audience engagement. Dialogue improvisation and physical theatre techniques used.",street-theatre nukkad natak social-issues gender-equality environment political improvisation physical-theatre,Open Grounds,1,11:00,180,200,0,true
e_011,One Act Play Competition,Drama,"A formal one-act play competition where groups present a complete dramatic narrative within 30 minutes. Scripts can be original or adapted. Judges evaluate direction acting set design and script quality. Themes can range from comedy to tragedy to experimental theatre. Backstage crew and technical team are part of the evaluation.",one-act-play drama theatre competition direction acting set-design script original adapted,Auditorium,2,14:00,240,300,0,false
e_012,Debate Championship,Debate,"A formal parliamentary debate competition on topics spanning politics economics technology and social issues. Teams of two argue for or against the motion in structured timed rounds. Judged on argument quality evidence use rebuttal skill and delivery. Both Asian and British parliamentary formats included.",debate parliamentary argument rebuttal public-speaking politics economics social-issues formal team-competition,Seminar Hall A,1,10:00,300,60,0,true
e_013,Just-A-Minute,Debate,"A rapid-fire verbal dexterity competition where participants must speak for 60 seconds on a random topic without hesitation repetition or deviation. Points are awarded for valid challenges and penalty for incorrect interruptions. A classic BBC-format competition testing vocabulary quick thinking and composure under pressure.",just-a-minute verbal dexterity impromptu public-speaking quick-thinking vocabulary composure rapid-fire,Seminar Hall B,1,14:00,120,80,0,true
